Prompt_id,Prompt,manual_seed,step,strength,guidance_scale,file_name,ref
20221018024736,"a cute anime girl as cyberpunk soldier, battle suit, detailed face, portrait by Krenz Cushart, Ilya Kuvshinov, wlop, Tony Taka, concept art, 2d anime in flat fluorescent colors, full head",43671066,50,0,5,/content/Assets/output/20221018024736-43671066-50-720-512.png,0
20221018024805,"a cute anime girl as cyberpunk soldier, battle suit, detailed face, portrait by Krenz Cushart, Ilya Kuvshinov, wlop, Tony Taka, concept art, 2d anime in flat fluorescent colors, full head",55674394,0,0.7,7,/content/Assets/output/20221018024805-55674394-0.7-7.png,/content/Assets/testing/me3.jpg
20221018024849,"a cute anime girl as cyberpunk soldier, battle suit, detailed face, portrait by Krenz Cushart, Ilya Kuvshinov, wlop, Tony Taka, concept art, 2d anime in flat fluorescent colors, full head",24439161,0,0.6,7,/content/Assets/output/20221018024849-24439161-0.6-7.png,/content/Assets/testing/me3.jpg
20221018024904,"a cute anime girl as cyberpunk soldier, battle suit, detailed face, portrait by Krenz Cushart, Ilya Kuvshinov, wlop, Tony Taka, concept art, 2d anime in flat fluorescent colors, full head",18090231,50,0,5,/content/Assets/output/20221018024904-18090231-50-720-512.png,0
20221018024926,"a cute anime girl as cyberpunk soldier, battle suit, detailed face, portrait by Krenz Cushart, Ilya Kuvshinov, wlop, Tony Taka, concept art, 2d anime in flat fluorescent colors, full head",60552390,0,0.5,7,/content/Assets/output/20221018024926-60552390-0.5-7.png,/content/Assets/testing/me3.jpg
20221018024958,"a cute anime girl as cyberpunk soldier, battle suit, detailed face, portrait by Krenz Cushart, Ilya Kuvshinov, wlop, Tony Taka, concept art, 2d anime in flat fluorescent colors, full head",86946658,50,0,5,/content/Assets/output/20221018024958-86946658-50-720-512.png,0
20221018025018,"a cute anime girl as cyberpunk soldier, battle suit, detailed face, portrait by Krenz Cushart, Ilya Kuvshinov, wlop, Tony Taka, concept art, 2d anime in flat fluorescent colors, full head",34783003,0,0.5,7,/content/Assets/output/20221018025018-34783003-0.5-7.png,/content/Assets/testing/me3.jpg
20221018025227,"a cute anime girl as cyberpunk soldier, battle suit, detailed face, portrait by Krenz Cushart, Ilya Kuvshinov, wlop, Tony Taka, concept art, 2d anime in flat fluorescent colors, full head",17853863,0,0.5,7,/content/Assets/output/20221018025227-17853863-0.5-7.png,https://raw.githubusercontent.com/luceiola/JoJoGAN/main/test_input/in07.jpg
20221018025240,"a cute anime girl as cyberpunk soldier, battle suit, detailed face, portrait by Krenz Cushart, Ilya Kuvshinov, wlop, Tony Taka, concept art, 2d anime in flat fluorescent colors, full head",31218714,50,0,5,/content/Assets/output/20221018025240-31218714-50-720-512.png,0
20221018025323,"a cute anime boy as cyberpunk soldier, battle suit, detailed face, portrait by Krenz Cushart, Ilya Kuvshinov, wlop, Tony Taka, concept art, 2d anime in flat fluorescent colors, full head",3887570,0,0.5,7,/content/Assets/output/20221018025323-3887570-0.5-7.png,https://raw.githubusercontent.com/luceiola/JoJoGAN/main/test_input/in07.jpg
20221018025342,"a cute anime girl as cyberpunk soldier, battle suit, detailed face, portrait by Krenz Cushart, Ilya Kuvshinov, wlop, Tony Taka, concept art, 2d anime in flat fluorescent colors, full head",8395433,50,0,5,/content/Assets/output/20221018025342-8395433-50-512-720.png,0
20221018025416,"a cute anime boy as cyberpunk soldier, battle suit, detailed face, portrait by Krenz Cushart, Ilya Kuvshinov, wlop, Tony Taka, concept art, 2d anime in flat fluorescent colors, full head",29260384,0,0.5,7,/content/Assets/output/20221018025416-29260384-0.5-7.png,https://raw.githubusercontent.com/luceiola/JoJoGAN/main/test_input/in07.jpg
20221018025447,"a cute anime boy as cyberpunk soldier, battle suit, detailed face, portrait by Krenz Cushart, Ilya Kuvshinov, wlop, Tony Taka, concept art, 2d anime in flat fluorescent colors, full head",61297528,0,0.5,7,/content/Assets/output/20221018025447-61297528-0.5-7.png,/content/Assets/testing/me3.jpg
20221018025534,"a cute anime boy as cyberpunk soldier, battle suit, detailed face, portrait by Krenz Cushart, Ilya Kuvshinov, wlop, Tony Taka, concept art, 2d anime in flat fluorescent colors, full head",7376737,0,0.7,7,/content/Assets/output/20221018025534-7376737-0.7-7.png,/content/Assets/testing/me3.jpg
